Day + Time,TempC,Windspeed(km/h),Windir16Point,WeatherCode,Humidity (%),Visibility (km),Pressure (mb),Cloudcover (%)
2013-03-08 - 1500,35,7,SSE,113,34,10,1009,46
2013-03-08 - 1800,28,16,SSE,113,56,10,1012,44
2013-03-09 - 0,25,11,SE,113,72,10,1013,15
2013-03-09 - 300,24,7,SE,113,76,10,1012,11
2013-03-09 - 600,25,12,ESE,113,72,10,1014,6
2013-03-09 - 900,31,7,E,113,47,10,1014,8
2013-03-09 - 1200,35,2,SSE,113,36,10,1012,26
2013-03-09 - 1500,34,10,SSE,113,39,10,1009,46
2013-03-09 - 1800,28,16,SSE,113,64,10,1012,44
2013-03-10 - 0,25,10,SE,116,76,10,1013,15
2013-03-10 - 300,24,9,SE,113,81,10,1012,11
2013-03-10 - 600,25,9,ESE,113,79,10,1014,6
2013-03-10 - 900,31,9,SE,113,53,10,1014,8
2013-03-10 - 1200,35,9,SSE,116,39,10,1012,26
2013-03-10 - 1500,33,16,SSE,116,43,10,1009,46
2013-03-10 - 1800,27,16,SSE,113,67,10,1012,44
2013-03-11 - 0,25,10,SSE,116,79,10,1013,15
2013-03-11 - 300,24,8,SE,116,84,10,1012,11
2013-03-11 - 600,25,11,SE,116,80,10,1014,6
2013-03-11 - 900,31,10,ESE,113,53,10,1014,8
2013-03-11 - 1200,36,8,SE,113,38,10,1012,26
2013-03-11 - 1500,34,16,SSE,116,42,10,1009,46
2013-03-11 - 1800,27,19,SSE,113,66,10,1012,44
2013-03-12 - 0,25,11,SSE,116,79,10,1013,15
2013-03-12 - 300,24,8,SE,116,82,10,1012,11
2013-03-12 - 600,25,9,SE,116,76,10,1014,6
2013-03-12 - 900,31,12,SE,116,52,10,1014,8
